ГОСТ 10704-91;Труба электросварная прямошовная;Вес;D;s
667;530x24;299.48;530;24
668;630x7;107.55;630;7
669;630x8;122.71;630;8
670;630x9;137.83;630;9
671;630x10;152.9;630;10
672;630x11;167.92;630;11
673;630x12;182.88;630;12
674;630x13;197.8;630;13
675;630x14;212.67;630;14
676;630x16;242.27;630;16
677;630x17;256.99;630;17
678;630x17.5;264.33;630;17.5
679;630x18;271.66;630;18
680;630x19;286.29;630;19
681;630x20;300.86;630;20
682;720x7;123.08;720;7
683;720x8;140.47;720;8
684;720x9;157.8;720;9
685;720x10;175.09;720;10
686;720x11;192.33;720;11
687;720x12;209.52;720;12
688;720x13;226.66;720;13
689;720x14;243.75;720;14
690;720x16;277.78;720;16
691;720x17;294.72;720;17
692;720x17.5;303.17;720;17.5
693;720x18;311.61;720;18
694;720x19;328.46;720;19
695;720x20;345.25;720;20
696;720x21;362;720;21
697;720x22;378.69;720;22
698;720x23;395.34;720;23
699;720x24;411.93;720;24
700;720x25;428.48;720;25
701;720x26;444.98;720;26
702;720x27;461.43;720;27
703;720x28;477.83;720;28
704;720x29;494.18;720;29
705;720x30;510.48;720;30
706;820x7;140.34;820;7
707;820x8;160.2;820;8
708;820x9;180;820;9
709;820x10;199.75;820;10
710;820x11;219.46;820;11
711;820x12;239.11;820;12
712;820x13;258.72;820;13
713;820x14;278.27;820;14
714;820x16;317.24;820;16
715;820x17;336.64;820;17
716;820x17.5;346.33;820;17.5
717;820x18;356;820;18
718;820x19;375.31;820;19
719;820x20;394.57;820;20
720;820x21;413.78;820;21
721;820x22;432.94;820;22
722;820x23;452.06;820;23
723;820x24;471.12;820;24
724;820x25;490.13;820;25
725;820x26;509.1;820;26
726;820x27;528.01;820;27
727;820x28;546.88;820;28
728;820x29;565.69;820;29
729;820x30;584.46;820;30
730;920x7;157.61;920;7
731;920x8;179.93;920;8
732;920x9;202.19;920;9
733;920x10;224.41;920;10
734;920x11;246.58;920;11
735;920x12;268.7;920;12
736;920x13;290.78;920;13
737;920x14;312.8;920;14
738;920x16;356.69;920;16
739;920x17;378.57;920;17
740;920x17.5;389.49;920;17.5
741;920x18;400.39;920;18
742;920x19;422.17;920;19
743;920x20;443.89;920;20
744;1020x8;199.65;1020;8
745;1020x9;224.39;1020;9
746;1020x10;249.07;1020;10
747;1020x11;273.71;1020;11
748;1020x12;298.3;1020;12
749;1020x13;322.83;1020;13
750;1020x14;347.32;1020;14
751;1020x16;396.15;1020;16
752;1020x17;420.49;1020;17
753;1020x17.5;432.64;1020;17.5
754;1020x18;444.78;1020;18
755;1020x19;469.02;1020;19
756;1020x20;493.22;1020;20
757;1020x21;517.36;1020;21
758;1020x22;541.45;1020;22
759;1020x23;565.5;1020;23
760;1020x24;589.49;1020;24
761;1020x25;613.44;1020;25
762;1020x26;637.33;1020;26
763;1020x27;661.18;1020;27
764;1020x28;684.98;1020;28
765;1020x29;708.73;1020;29
766;1020x30;732.43;1020;30
767;1020x31;756.07;1020;31
768;1020x32;779.68;1020;32
769;1120x8;219.38;1120;8
770;1120x9;246.58;1120;9
771;1120x10;273.73;1120;10
772;1120x11;300.84;1120;11
773;1120x12;327.89;1120;12
774;1120x13;354.89;1120;13
775;1120x14;381.85;1120;14
776;1120x16;435.61;1120;16
777;1120x17;462.41;1120;17
778;1120x17.5;475.8;1120;17.5
779;1120x18;489.17;1120;18
780;1120x19;515.88;1120;19
781;1120x20;542.54;1120;20
782;1220x9;268.78;1220;9
783;1220x10;298.4;1220;10
784;1220x11;327.96;1220;11
785;1220x12;357.48;1220;12
786;1220x13;386.95;1220;13
787;1220x14;416.37;1220;14
788;1220x16;475.07;1220;16
789;1220x17;504.34;1220;17
790;1220x17.5;518.96;1220;17.5
791;1220x18;533.56;1220;18
792;1220x19;562.73;1220;19
793;1220x20;591.86;1220;20
794;1420x10;347.72;1420;10
795;1420x11;382.22;1420;11
796;1420x12;416.67;1420;12
797;1420x13;451.07;1420;13
798;1420x14;485.42;1420;14
799;1420x16;553.98;1420;16
800;1420x17;588.18;1420;17
801;1420x17.5;605.27;1420;17.5
802;1420x18;622.34;1420;18
803;1420x19;656.45;1420;19
804;1420x20;690.5;1420;20
